ticker,exchange,industry,companyType,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,stockRating,deltaInWeek,deltaInMonth,deltaInYear,shortName,industryEn,industryID,industryIDv2,website,datime
VCX,UPCOM,Xây dựng và Vật liệu,CT,668,0.001,26.5,26.5,2012.0,340,,0.119,0.099,0.32,Xi măng Yên Bình,Construction & Materials,180,2353,http://www.ximangyenbinh.com,2312091715
VDB,UPCOM,Tài nguyên Cơ bản,CT,520,0.0,8.7,8.7,2012.0,663,,-0.02,-0.041,-0.08,Vận tải và CB Than Đông Bắc,Basic Resources,160,1771,http://www.vtcbdongbac.com.vn,2312091715
VDL,HNX,Thực phẩm và đồ uống,CT,0,0.007,14.7,14.7,2003.0,189,2.9,-0.02,0.094,-0.538,Thực phẩm Lâm Đồng,Food & Beverage,215,3535,https://ladofoods.vn,2312091715
VDS,HOSE,Dịch vụ tài chính,CK,5331,0.015,210.0,210.0,2006.0,463,2.8,0.024,0.134,0.958,Chứng khoán Rồng Việt,Financial Services,300,8777,http://www.vdsc.com.vn,2312091715
VDP,HOSE,Y tế,CT,506,0.003,18.4,18.4,2003.0,497,2.7,-0.07,-0.09,-0.085,Dược phẩm VIDIPHA,Health Care,238,4577,http://www.vidipha.com.vn,2312091715
VDN,UPCOM,Hàng cá nhân & Gia dụng,CT,0,0.0,3.1,3.1,2004.0,2114,,-0.086,-0.268,-0.107,Vinatex Đà Nẵng,Personal & Household Goods,226,3763,http://vinatexdn.com.vn,2312091715
QCG,HOSE,Bất động sản,CT,3011,0.006,275.1,275.1,2007.0,115,2.7,0.045,0.07,1.47,Quốc Cường Gia Lai,Real Estate,336,8633,http://www.quoccuonggialai.com.vn,2312091722
QBS,HOSE,Hóa chất,CT,1736,0.0,69.3,69.3,2007.0,29,,0.001,0.053,0.044,Xuất nhập khẩu Quảng Bình,Chemicals,151,1357,http://www.quangbinhjsc.com.vn,2312091722
PXT,UPCOM,Xây dựng và Vật liệu,CT,501,0.025,20.0,20.0,2009.0,149,,0.007,-0.041,0.038,Xây lắp Đường ống Dầu khí,Construction & Materials,181,2357,http://www.pvc-pt.vn,2312091722
PXM,UPCOM,Xây dựng và Vật liệu,CT,0,0.002,15.0,15.0,2007.0,15,,-0.187,-0.327,-0.58,Xây lắp Dầu khí Miền Trung,Construction & Materials,181,2357,http://www.pvcmt.vn,2312091722
