ticker,shareHolder_OwnPercent,datime
SPI,"[{'Đoàn Quốc Khánh': 0.2023}, {'Đỗ Thị Cẩm Thúy': 0.1179}, {'Đỗ Thị Cẩm Thúy': 0.1179}, {'Nguyễn Đại Quyền': 0.0574}, {'Nguyễn Đức Minh': 0.0497}, {'Hoàng Minh Chính': 0.0487}, {'Bùi Văn Hiếu': 0.0476}, {'Nguyễn Cảnh Dương': 0.0475}, {'Phạm Thị Hồng': 0.0462}, {'Khác': 0.4306}]",2312091655
SPV,"[{'Công ty Cổ Phần Đầu Tư Vi Na': 0.2205}, {'Công ty Cổ phần Transimex': 0.2004}, {'Tổng Công ty Thủy sản Việt Nam - Công ty Cổ phần': 0.18}, {'Cao Thanh Định': 0.1037}, {'Công Ty CP Dịch Vụ Văn Hóa Việt': 0.0701}, {'Bùi Tuấn Ngọc': 0.0258}, {'Khác': 0.0056}]",2312091655
SPM,"[{'Đào Hữu Hoàng': 0.4327}, {'Đào Hữu Hoàng Vũ': 0.1264}, {'Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín': 0.0756}, {'Vũ Thanh Hiếu': 0.0594}, {'Hồ Mộng Tiên': 0.0496}, {'Đào Hữu Khôi': 0.0293}, {'Đào Thị Ngọc Ánh': 0.0253}, {'Văn Tất Chiến': 0.0021}, {'Đặng Ngọc Hồ': 0.0008}, {'Khác': 0.0286}]",2312091655
SQC,"[{'ĐẶNG THANH TÂM': 0.4101}, {'Nguyễn Thị Kim Xuân': 0.0643}, {'Công ty Cổ phần Công nghệ Viễn thông Sài Gòn': 0.0518}, {'Đặng Thị Hoàng Phượng': 0.0479}, {'CHAU KIN HANG KELVIN': 0.0093}, {'Nguyễn Trần Triệu Thanh': 0.0023}, {'Hoàng Thị Kim Hiên': 0.0015}, {'Đặng Nhứt': 0.0014}, {'Ngô Thị Phương Thủy': 0.0003}, {'Khác': 0.1302}]",2312091655
SRA,"[{'Hoàng Quách Việt': 0.0879}, {'Trần Thái Hùng': 0.0775}, {'Lê Nam Hùng': 0.0608}, {'Lê Thu Huyền': 0.0381}, {'Phan Hồng Sơn': 0.0333}, {'Nguyễn Hữu Hải Long': 0.0324}, {'Bùi Ngọc Tuấn': 0.0269}, {'Trần Thị Luyến': 0.0234}, {'Nguyễn Thế Sơn': 0.0099}, {'Khác': 0.1054}]",2312091655
SRC,"[{'Công ty Cp Tập Đoàn Hoành Sơn': 0.5022}, {'Tập đoàn Hóa chất Việt Nam': 0.36}, {'Nguyễn Tiến Ngọc': 0.0494}, {'Hồ Viết Hùng': 0.0128}, {'Lê Công An': 0.0052}, {'Nguyễn Gia Tường': 0.005}, {'Đào Thị Hoa': 0.0049}, {'Nguyễn Thị Hợp': 0.0022}, {'Mai Chiến Thắng': 0.0018}, {'Khác': 0.0523}]",2312091655
SRT,"[{'Tổng Công ty Đường sắt Việt Nam': 0.7844}, {'Trần Kim Ngân': 0.1309}, {'Lê Quốc Trung': 0.0001}, {'NGUYỄN HỒNG HẢI': 0.0001}, {'Đào Anh Tuấn': 0.0001}, {'Mai Thế Mạnh': 0.0001}, {'Thái Văn Truyền': 0.0001}, {'Khác': 0.0003}]",2312091655
SRF,"[{'Công ty Cổ phần Taisei Oncho': 0.2505}, {'Công ty TNHH Kỹ Thuật Và Xây Dựng Sanyo Việt Nam': 0.201}, {'Tổng Công ty Thủy sản Việt Nam - Công ty Cổ phần': 0.1284}, {'Nguyễn Thị Hồng': 0.0666}, {'Nguyễn Hữu Thịnh': 0.0426}, {'Nguyễn Thanh Sơn': 0.0411}, {'Lê Tấn Phước': 0.0266}, {'Lê Tấn Phước': 0.0264}, {'Ngô Thị Mai': 0.0174}, {'Khác': 0.0631}]",2312091655
SRB,"[{'Nguyễn Quang Cầm': 0.0494}, {'Đồng Văn Sơn': 0.0482}, {'Trần Hữu Trọng': 0.0019}, {'Nguyễn Văn Đính': 0.0003}, {'Thái Sỹ Oai': 0.0002}, {'Nguyễn Thế Sơn': 0.0002}, {'Khác': 0.0}]",2312091655
SSB,"[{'Công ty TNHH MTV Đầu tư Phú Mỹ': 0.0522}, {'Nguyễn Thị Nga': 0.037}, {'Lê Hữu Báu': 0.0349}, {'LÊ THU THỦY': 0.0236}, {'Lê Tuấn Anh': 0.022}, {'Khúc Thị Quỳnh Lâm': 0.0037}, {'Lê Văn Tần': 0.0036}, {'Hoàng Minh Tân': 0.0024}, {'Ngô Thị Nhài': 0.0022}, {'Khác': 0.0387}]",2312091655
