ticker,industry,industryEn,exchange,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,shortName,website,shareHolder_OwnPercent,companyProfile,historyDev,companyPromise,businessRisk,keyDevelopments,businessStrategies
HAS,Xây dựng và Vật liệu,Construction & Materials,HOSE,1529,0.156,7.8,8.0,2001.0,89,Hacisco,https://has.vn,"[{'Tập Đoàn Bưu Chính Viễn Thông Việt Nam (loại Hình Doanh Nghiệp: Công ty Tnhh)': 0.2763}, {'Phạm Thị Hạnh': 0.1404}, {'Robert Alexander Stone': 0.1194}, {'Công ty Cổ phần Tập đoàn Thế kỷ': 0.05}, {'Đoàn Ngọc Cương': 0.0487}, {'Nguyễn Hoài Nam': 0.0404}, {'Nguyễn Thanh Liêm': 0.014}, {'Phạm Minh Tuấn': 0.0137}, {'Phạm Minh Tuấn': 0.0137}, {'Khác': 0.0454}]",,,,,,
HAS,Xây dựng và Vật liệu,Construction & Materials,HOSE,1529,0.156,7.8,8.0,2001.0,89,Hacisco,https://has.vn,"[{'Tập Đoàn Bưu Chính Viễn Thông Việt Nam (loại Hình Doanh Nghiệp: Công ty Tnhh)': 0.2763}, {'Phạm Thị Hạnh': 0.1404}, {'Robert Alexander Stone': 0.1194}, {'Công ty Cổ phần Tập đoàn Thế kỷ': 0.05}, {'Đoàn Ngọc Cương': 0.0487}, {'Nguyễn Hoài Nam': 0.0404}, {'Nguyễn Thanh Liêm': 0.014}, {'Phạm Minh Tuấn': 0.0137}, {'Phạm Minh Tuấn': 0.0137}, {'Khác': 0.0454}]",,,,,,
HAX,Ô tô và phụ tùng,Automobiles & Parts,HOSE,6546,0.151,93.4,93.4,2000.0,914,Ô tô Hàng Xanh,http://www.haxaco.com.vn,"[{'Đỗ Tiến Dũng': 0.1747}, {'VŨ THỊ HẠNH': 0.1725}, {'Afc Vietnam Fund': 0.0508}, {'Hoàng Đức Thành': 0.0505}, {'Phạm Tuấn Mai': 0.0292}, {'TRẦN QUỐC HẢI': 0.0246}, {'Trần Văn Mỹ': 0.0198}, {'Nguyễn Thị Ngọc Bích': 0.0137}, {'Hoàng Đức Hùng': 0.0097}, {'Khác': 0.1724}]",,,,,,
HAX,Ô tô và phụ tùng,Automobiles & Parts,HOSE,6546,0.151,93.4,93.4,2000.0,914,Ô tô Hàng Xanh,http://www.haxaco.com.vn,"[{'Đỗ Tiến Dũng': 0.1747}, {'VŨ THỊ HẠNH': 0.1725}, {'Afc Vietnam Fund': 0.0508}, {'Hoàng Đức Thành': 0.0505}, {'Phạm Tuấn Mai': 0.0292}, {'TRẦN QUỐC HẢI': 0.0246}, {'Trần Văn Mỹ': 0.0198}, {'Nguyễn Thị Ngọc Bích': 0.0137}, {'Hoàng Đức Hùng': 0.0097}, {'Khác': 0.1724}]",,,,,,
HAT,Thực phẩm và đồ uống,Food & Beverage,HNX,0,0.034,3.1,3.1,2006.0,87,TM Bia Hà Nội,http://www.biahoihanoi.com.vn,"[{'Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội': 0.6}, {'Công ty Cổ Phần Giải Pháp Công Nghệ Ulatech': 0.0623}, {'Phạm Thị Thu Hương': 0.0505}, {'Phạm Việt Dũng': 0.0504}, {'Nguyễn Quốc Anh': 0.0016}, {'Nguyễn Vi Anh': 0.0013}, {'Nguyễn Cao Tưởng': 0.0012}, {'Nguyễn Văn Hùng': 0.0006}, {'Vương Toàn': 0.0005}, {'Khác': 0.03}]",,,,,,
HAT,Thực phẩm và đồ uống,Food & Beverage,HNX,0,0.034,3.1,3.1,2006.0,87,TM Bia Hà Nội,http://www.biahoihanoi.com.vn,"[{'Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội': 0.6}, {'Công ty Cổ Phần Giải Pháp Công Nghệ Ulatech': 0.0623}, {'Phạm Thị Thu Hương': 0.0505}, {'Phạm Việt Dũng': 0.0504}, {'Nguyễn Quốc Anh': 0.0016}, {'Nguyễn Vi Anh': 0.0013}, {'Nguyễn Cao Tưởng': 0.0012}, {'Nguyễn Văn Hùng': 0.0006}, {'Vương Toàn': 0.0005}, {'Khác': 0.03}]",,,,,,
HBC,Xây dựng và Vật liệu,Construction & Materials,HOSE,19799,0.144,274.1,274.1,2000.0,5040,Tập đoàn Xây dựng Hòa Bình,https://hbcg.vn,"[{'LÊ VIẾT HẢI': 0.1714}, {'Hyundai Elevators Co., Ltd.': 0.1083}, {'Bùi Ngọc Mai': 0.0174}, {'Lê Thị Anh Thư': 0.0073}, {'Trương Quang Nhật': 0.0058}, {'Lê Viết Hà': 0.0044}, {'Lê Viết Hiếu': 0.0044}, {'Phan Ngọc Thạnh': 0.0032}, {'Lê Viết Hưng': 0.0031}, {'Khác': 0.3014}]",,,,,,
HBC,Xây dựng và Vật liệu,Construction & Materials,HOSE,19799,0.144,274.1,274.1,2000.0,5040,Tập đoàn Xây dựng Hòa Bình,https://hbcg.vn,"[{'LÊ VIẾT HẢI': 0.1714}, {'Hyundai Elevators Co., Ltd.': 0.1083}, {'Bùi Ngọc Mai': 0.0174}, {'Lê Thị Anh Thư': 0.0073}, {'Trương Quang Nhật': 0.0058}, {'Lê Viết Hà': 0.0044}, {'Lê Viết Hiếu': 0.0044}, {'Phan Ngọc Thạnh': 0.0032}, {'Lê Viết Hưng': 0.0031}, {'Khác': 0.3014}]",,,,,,
HBD,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,UPCOM,262,0.005,1.9,2.0,2002.0,7,Bao bì PP Bình Dương,http://www.haipacbd.com,"[{'MAI VĂN BÌNH': 0.1914}, {'Trần Thị Thanh Hương': 0.1644}, {'Lê Kim Phượng': 0.1212}, {'Phạm Duy Dần': 0.098}, {'Nguyễn Thúy Hiền': 0.077}, {'Mai Hương': 0.0712}, {'Mai Thị Thanh Hà': 0.0646}, {'Nguyễn Thị Hải Yến': 0.0291}, {'Trần Văn Hồng': 0.016}, {'Khác': 0.0397}]",,,,,,
HBD,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,UPCOM,262,0.005,1.9,2.0,2002.0,7,Bao bì PP Bình Dương,http://www.haipacbd.com,"[{'MAI VĂN BÌNH': 0.1914}, {'Trần Thị Thanh Hương': 0.1644}, {'Lê Kim Phượng': 0.1212}, {'Phạm Duy Dần': 0.098}, {'Nguyễn Thúy Hiền': 0.077}, {'Mai Hương': 0.0712}, {'Mai Thị Thanh Hà': 0.0646}, {'Nguyễn Thị Hải Yến': 0.0291}, {'Trần Văn Hồng': 0.016}, {'Khác': 0.0397}]",,,,,,
